B	    8	    3
B	    8	    3
B	    8	    3
B	    8	    3
B	    8	    3
B	    8	    3
B	    8	    3
B	    8	    3
B	    8	    3
B	    8	    3
B	    8	    3
B	    8	    3
B	    8	    3
B	    8	    3
B	    8	    3
B	    8	    9
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
S	   24	         2
B	   28	   11
S	   14	         2
